# file...... house_meter.csv
# date...... Sat May 15 03:01:01 2021
# user...... parallels
# host...... (null)
# target.... triplex_meter 14
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,measured_real_power,measured_voltage_1,measured_current_1
2021-01-08 17:45:00 UTC,+5080,+119.963+119.928d,-21.1271+36.6998j
2021-01-08 18:00:00 UTC,+4120,+119.977+119.942d,-17.1396+29.7568j
2021-01-08 18:15:00 UTC,+5640,+119.954+119.92d,-23.4521+40.7516j
2021-01-08 18:30:00 UTC,+4640,+119.969+119.934d,-19.2998+33.5171j
2021-01-08 18:45:00 UTC,+4880,+119.966+119.931d,-20.2966+35.253j
2021-01-08 19:00:00 UTC,+7480,+119.926+119.894d,-31.0857+54.0731j
2021-01-08 19:15:00 UTC,+7600,+119.925+119.892d,-31.5832+54.9423j
2021-01-08 19:30:00 UTC,+7160,+119.931+119.898d,-29.7587+51.7554j
2021-01-08 19:45:00 UTC,+6840,+119.936+119.903d,-28.4315+49.438j
2021-01-08 20:00:00 UTC,+6800,+119.937+119.904d,-28.2656+49.1484j
2021-01-08 20:15:00 UTC,+6760,+119.937+119.904d,-28.0997+48.8588j
2021-01-08 20:30:00 UTC,+6560,+119.94+119.907d,-27.27+47.4107j
2021-01-08 20:45:00 UTC,+6680,+119.938+119.905d,-27.7678+48.2795j
2021-01-08 21:00:00 UTC,+5160,+119.961+119.927d,-21.4593+37.2786j
2021-01-08 21:15:00 UTC,+3560,+119.985+119.95d,-14.8125+25.7083j
2021-01-08 21:30:00 UTC,+3080,+119.993+119.956d,-12.8172+22.2391j
2021-01-08 21:45:00 UTC,+3960,+119.979+119.944d,-16.4748+28.5999j
2021-01-08 22:00:00 UTC,+3240,+119.99+119.954d,-13.4823+23.3954j
2021-01-08 22:15:00 UTC,+4200,+119.976+119.94d,-17.472+30.3352j
2021-01-08 22:30:00 UTC,+2760,+119.997+119.961d,-11.4866+19.9269j
2021-01-08 22:45:00 UTC,+3120,+119.992+119.956d,-12.9835+22.5282j
2021-01-08 23:00:00 UTC,+1720,+120.013+119.976d,-7.16061+12.4147j
2021-01-08 23:15:00 UTC,+2120,+120.007+119.97d,-8.82479+15.3035j
2021-01-08 23:30:00 UTC,+1160,+120.021+119.984d,-4.83007+8.37147j
2021-01-08 23:45:00 UTC,+1080,+120.023+119.985d,-4.49707+7.79396j
2021-01-09 00:00:00 UTC,+1040,+120.023+119.985d,-4.33056+7.50522j
2021-01-09 00:15:00 UTC,+760,+120.027+119.989d,-3.16491+5.48417j
2021-01-09 00:30:00 UTC,+760,+120.027+119.989d,-3.16491+5.48417j
2021-01-09 00:45:00 UTC,+800,+120.027+119.989d,-3.33145+5.77287j
2021-01-09 01:00:00 UTC,+520,+120.031+119.993d,-2.16562+3.75208j
2021-01-09 01:15:00 UTC,+640,+120.029+119.991d,-2.66529+4.6181j
2021-01-09 01:30:00 UTC,+1280,+120.02+119.982d,-5.32953+9.23778j
2021-01-09 01:45:00 UTC,+640,+120.029+119.991d,-2.66529+4.6181j
2021-01-09 02:00:00 UTC,+480,+120.032+119.993d,-1.99906+3.46343j
2021-01-09 02:15:00 UTC,+600,+120.03+119.991d,-2.49874+4.32942j
2021-01-09 02:30:00 UTC,+600,+120.03+119.991d,-2.49874+4.32942j
2021-01-09 02:45:00 UTC,+920,+120.025+119.987d,-3.83102+6.63902j
2021-01-09 03:00:00 UTC,+520,+120.031+119.993d,-2.16562+3.75209j
2021-01-09 03:15:00 UTC,+560,+120.03+119.992d,-2.33218+4.04075j
2021-01-09 03:30:00 UTC,+680,+120.029+119.99d,-2.83183+4.90678j
2021-01-09 03:45:00 UTC,+640,+120.029+119.991d,-2.66529+4.6181j
