# file...... 1Meter_611_C_power.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_611_C_24:measured_power,house_meter_611_C_25:measured_power,house_meter_611_C_26:measured_power,house_meter_611_C_27:measured_power,house_meter_611_C_28:measured_power,house_meter_611_C_29:measured_power,house_meter_611_C_30:measured_power,house_meter_611_C_31:measured_power,house_meter_611_C_32:measured_power,house_meter_611_C_33:measured_power,house_meter_611_C_34:measured_power,house_meter_611_C_35:measured_power,house_meter_611_C_36:measured_power,house_meter_611_C_37:measured_power,house_meter_611_C_38:measured_power,house_meter_611_C_39:measured_power,house_meter_611_C_40:measured_power
2021-01-06 10:30:00 PST,+7813.15+0.038644d,+4644.63+0.0228995d,+7371.68+0.0363874d,+4123.65+0.0203263d,+8053.95+0.0397668d,+9579.75+0.0473317d,+11588.9+0.0573084d,+11428.1+0.0565093d,+4764.88+0.0234935d,+1840.72+0.0090163d,+6242.73+0.030636d,+4684.69+0.0229747d,+2521.36+0.0123538d,+1720.63+0.00842763d,+6328.56+0.0310584d,+4764.85+0.0233686d,+6569.23+0.0322428d
2021-01-06 10:45:00 PST,+7813.09+0.0384709d,+4203.78+0.0206514d,+6689.59+0.0328981d,+3322.36+0.0163152d,+10222.4+0.0503483d,+8575.77+0.0422082d,+11548.6+0.0569128d,+10142.1+0.0499508d,+5045.45+0.0247951d,+1440.44+0.00702781d,+4083.55+0.0199457d,+9941.08+0.0486779d,+2601.44+0.0126985d,+1800.69+0.00878678d,+3442.52+0.0168101d,+4604.51+0.0224953d,+2921.82+0.0142643d
2021-01-06 11:00:00 PST,+7813.03+0.0382726d,+7090.74+0.0347722d,+7772.91+0.0381286d,+1160.29+0.00567553d,+8094+0.0397092d,+6809.91+0.033391d,+11186.8+0.0549552d,+9619.79+0.0472256d,+4564.45+0.0223594d,+1920.78+0.00934036d,+1760.66+0.00856113d,+7652.43+0.0373029d,+2120.95+0.0103146d,+1760.66+0.00856113d,+4564.42+0.0222207d,+2040.88+0.0099249d,+2761.62+0.013434d
2021-01-06 11:15:00 PST,+7411.65+0.036073d,+3642.81+0.017713d,+7090.66+0.0345286d,+3843.13+0.0186886d,+7371.53+0.0359005d,+6689.49+0.0325695d,+8896.8+0.043357d,+8455.17+0.0411971d,+5005.31+0.0243522d,+4804.87+0.0232487d,+1760.65+0.00850813d,+6528.99+0.031614d,+1800.68+0.00870171d,+1840.71+0.00889531d,+1280.34+0.00618585d,+1760.65+0.00850813d,+3322.32+0.0160653d
2021-01-06 11:30:00 PST,+7411.69+0.0362051d,+4323.98+0.0211177d,+6729.64+0.0329003d,+1000.21+0.00487799d,+6448.86+0.0315238d,+7211.08+0.0352613d,+12191.7+0.0597432d,+9941.08+0.0486674d,+7732.74+0.0378205d,+2120.95+0.0103011d,+1680.6+0.00816082d,+7732.68+0.0376457d,+1760.66+0.00854987d,+5245.83+0.0255118d,+2080.92+0.0101064d,+4243.81+0.02063d,+7130.78+0.0347065d
2021-01-06 11:45:00 PST,+7211.06+0.0352173d,+4203.76+0.0205502d,+6208.21+0.0303749d,+4885.08+0.0238878d,+6769.77+0.0331304d,+7251.21+0.0354938d,+16395.7+0.0500407d,+8053.84+0.0394361d,+4604.52+0.0225131d,+1320.37+0.00640529d,+1640.57+0.0079597d,+3763+0.0182737d,+1760.66+0.00854277d,+1720.63+0.00834841d,+5165.65+0.0251001d,+3362.39+0.0163255d,+6649.36+0.0323299d
2021-01-06 12:00:00 PST,+7010.45+0.0342269d,+8575.66+0.0419094d,+6890.1+0.0336479d,+3803.07+0.0185479d,+6849.98+0.0334514d,+7331.44+0.0358099d,+10897.7+0.0373286d,+7532.07+0.036793d,+2841.71+0.0138536d,+2000.84+0.00969436d,+1720.62+0.00833567d,+2561.38+0.0124132d,+1880.75+0.00911201d,+1680.6+0.00814161d,+6569.13+0.0318899d,+2881.75+0.0139677d,+5606.64+0.0272064d
2021-01-06 12:15:00 PST,+6529.08+0.0319216d,+13197.2+0.0647683d,+5847.29+0.0286067d,+600.077+0.0029292d,+6288.43+0.0307706d,+7973.56+0.0390445d,+8093.84+0.0392456d,+6529.09+0.0319515d,+4323.98+0.0211405d,+1240.33+0.00602714d,+5406.2+0.0263169d,+5686.86+0.0276864d,+1720.63+0.00836277d,+1760.66+0.00855747d,+3001.91+0.0145981d,+5686.86+0.0276864d,+3803.06+0.0185004d
2021-01-06 12:30:00 PST,+6609.26+0.0321719d,+10342.8+0.0506088d,+6007.68+0.0293421d,+3963.34+0.0193405d,+6529.07+0.0318957d,+9057.48+0.0442952d,+7652.47+0.0374016d,+7130.82+0.0348443d,+4323.97+0.0211036d,+2881.76+0.0139948d,+4003.39+0.0194511d,+4404.11+0.0214016d,+5927.44+0.0288229d,+1760.66+0.0085463d,+3001.91+0.014579d,+3883.19+0.0188661d,+6809.83+0.033126d
2021-01-06 12:45:00 PST,+6168.07+0.0300173d,+10744.6+0.0524848d,+7652.44+0.0373312d,+3763+0.0183269d,+6087.87+0.0296789d,+5526.48+0.0269357d,+7331.42+0.0357603d,+7532.06+0.0367421d,+4404.12+0.0214551d,+4203.73+0.0203563d,+3362.38+0.0162764d,+1800.68+0.00871087d,+2401.22+0.0116189d,+1760.65+0.00851708d,+3122.05+0.0151115d,+2321.14+0.011231d,+3642.8+0.0176359d
